CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
3701502,Tona,Berlin,-72.8719444,7.1898056,707,8.6,3214
1601506,Chinacota,Blonay,-72.6,7.5833333,1502,20,1235
2403533,Boavita,Boavita,-72.5823056,6.3289444,1313,17.3,2150
2111512,Villavieja,Boca La,-75.26126,3.1804,1223,28,450
2613510,Pereira,Bohemia La,-75.8773333,4.6841667,1784,23.7,994
3502506,Choachi,Bolsa La,-73.9814167,4.5754167,1323,8.4,3195
5205503,Consaca,Bombona,-77.4683333,1.1872222,1161,19.7,1493
5304501,Guapi,Bonanza,-77.8641667,2.5538889,4914,25.8,10
5205504,Pasto,Botana,-77.2819444,1.1630556,912,12.3,2816
2406501,Puerto Wilches,Brisas Hda Las,-73.7995926,7.2426204,2933,28.4,138
3504502,Cumaral,Cabana Hda La,-73.2666667,4.2666667,3281,25.5,305
2306512,Pacho,Cabrera La,-74.1393611,5.1415556,1516,16.9,2000
2625504,Caucasia,Cacaoteras del D,-75.11352,7.98287,2565,27.6,55
2319520,Surata,Cachiri,-72.9914,7.48312,977,17.4,1850
2121510,Cajamarca,Cajamarca,-75.43021,4.44188,1290,18.5,1735
2607502,Candelaria,Calipuerto,-76.4,3.4333333,1000,24.9,930
2803502,Valledupar,Callao El,-73.3237222,10.3580278,1115,28.2,110
2120569,Bogota,Camavieja,-74.1,4.6166667,743,14.3,2680
2614503,Santuario,Camelia La,-75.9670278,5.0793056,1901,19.1,1742
2312504,Puerto Parra,Campo Capote,-73.9220278,6.6176528,2717,26.8,180
3508505,Campohermoso,Campohermoso,-73.1045556,5.0336667,2922,21,1300
2621502,Santafe de Antioquia,Canafisto,-75.8211111,6.4108333,1227,27.5,500
2320505,Santa Rosa del Sur,Canelos,-74.2408333,7.8855139,2118,21.9,1049
2403526,Capitanejo,Capitanejo,-72.6966944,6.5206389,743,25.5,1160
2312505,Puerto Parra,Carare,-74.0648389,6.6522389,2784,27.9,168
3303501,Puerto Gaitan,Carimagua,-71.33794,4.56921,2323,26.1,200
2401523,Villa de Leyva,Carmen El,-73.5166667,5.65,1076,16,2250
2314502,El Carmen de Chucuri,Carmen El,-73.5141667,6.6996759,2261,24.1,815
2901502,El Carmen de Bolivar,Carmen de Boliva,-75.1014942,9.7166901,1033,27.4,152
1602501,Cucuta,Carmen de Toncha,-72.5701667,7.8495278,951,27.3,285
2401515,Cucunuba,Carrizal,-73.7666667,5.2,678,11.7,2860
2612524,Pereira,Catalina La,-75.75,4.75,2092,21.7,1350
2614501,Viterbo,Cecilia La,-75.8833333,5.0666667,1832,23.5,1028
2615502,Chinchina,Cenicafe,-75.5833333,4.9833333,2488,21,1310
2607508,Florida,Cenicana,-76.3040278,3.3634444,1183,23.6,1022
2611504,La Union,Cent Admo La Uni,-76.0655417,4.5341111,1123,24.3,920
2802509,Agustin Codazzi,Centenario Hda,-73.2666667,9.85,1569,28,100
2501501,Planeta Rica,Centro Alegre,-75.64314,8.15407,1563,27.6,101
2315504,Barrancabermeja,Centro El,-73.7685139,6.862375,2487,27.4,95
1201508,Chigorodo,Cerrazon La,-76.58195,7.72612,3167,26.1,70
2403528,Socha,Chapa La,-72.7333333,5.9666667,949,14,2680
2121507,Ibague,Chapeton,-75.2666667,4.45,1977,20.4,1200
2402505,Charala,Charala,-73.1564514,6.2687014,2651,21.1,1350
2702502,Anori,Charcon Liberia,-74.99232,7.3818,3976,26.4,165
2120540,Nemocon,Checua-Nemocon,-73.8666667,5.1166667,648,13,2580
2121508,Espinal,Chicoral,-74.98765,4.22202,1372,27.3,350
1307501,Chima,Chima,-75.62058,9.14926,1242,27.4,20
2401526,Chima,Chima,-73.3716875,6.3577639,3047,23.2,1200
2502525,Chiriguana,Chiriguana,-73.5915,9.3645278,1554,28.3,40
2403531,Chiscas,Chiscas,-72.50784,6.55367,1304,16.7,2350
2403525,Chita,Chita,-72.4666667,6.1833333,990,11.9,2888
2312512,Cimitarra,Cimitarra,-73.9557111,6.3103222,2804,27,300
1602504,Cucuta,Cinera-Villa Olg,-72.4823611,8.1702083,2281,27.3,110
2502533,Pailitas,Col Agro Pailita,-73.6344444,8.9489444,2019,27.9,50
2320502,San Pablo,Col Cooperativo,-73.9289815,7.4778426,2512,28.1,165
5311502,Buenaventura,Colpuertos,-77.06942,3.88873,7400,26.1,10
2621501,Concordia,Concordia,-75.9194444,6.0394444,2288,18.3,2032
3207506,Fuente de Oro,Cooperativa La,-73.62512,3.40301,2215,25.5,280
2207504,Rovira,Corazon El,-75.28231,4.12374,1846,25.5,690
3519505,Pajarito,Corinto,-72.72509,5.4132,2617,18.5,1550
2308516,San Vicente,Corrientes,-75.2536111,6.3122222,2789,17.3,1890
2622503,Santafe de Antioquia,Cotove Hda,-75.8272222,6.5338889,1000,27,530
1204502,Puerto Escondido,Cristo Rey,-76.22812,9.07537,1489,27.6,15
2502516,Montelibano,Cuba Hda,-75.41123,7.99847,2309,27,50
2120515,Girardot,Cucharo El,-74.8,4.3,1023,28.4,326
2402502,Pinchote,Cucharo El,-73.2025185,6.5356759,1221,24.7,975
2103503,Acevedo,Cueva Los Guacha,-76.11955,1.63511,2760,15.9,2225
2612513,Sevilla,Cumbarco,-75.8324583,4.1850278,2206,18.7,1731
2403501,La Uvita,Cusagui,-72.5489167,6.2481111,1073,12.4,2950
2308507,Yolombo,Delirio Hda El,-75.05,6.6,2497,19.8,1680
2204501,Chaparral,Demostracion Gja,-75.50774,3.72588,2599,24.2,1040
1308501,Lorica,Doctrina La,-75.90894,9.30668,1319,27.5,20
2115504,Dolores,Dolores Hda Madr,-74.9091389,3.5359444,1804,21,1456
3509502,Sabanalarga,Don Antonio Came,-73.0333333,4.6833333,3571,25.3,300
2801502,Villanueva,Dorada La,-73.1166667,10.5,1011,27.5,140
2120552,Bogota,Eldorado Didacti,-74.15,4.7,790,13.6,2546
4701510,Pasto,Encano El,-77.1647222,1.1627778,1367,11.6,2817
2319518,Cachira,Esc Agr Cachira,-73.0552222,7.7380278,963,16.7,1882
2105502,La Plata,Esc Agr La Plata,-75.8911111,2.3781667,1557,22,1070
2402504,Mogotes,Esc Agr Mogotes,-73.2223542,6.4729375,2651,18.6,1860
2120605,Bogota,Esc Col Ingenier,-74.04925,4.7865,851,13.9,2650
1401503,Cartagena,Esc Naval Cioh,-75.5203715,10.3909949,791,27.7,1
2401518,Chiquinquira,Esclusa Tolon,-73.7833333,5.6166667,990,12.9,2545
1601503,Ragonvalia,Esperanza La,-72.5403611,7.5710556,1506,16.8,1760
2302502,Honda,Esperanza La,-74.7333333,5.25,1509,28.1,222
2305508,Samana,Florencia,-75.05,5.5333333,6329,19.3,1575
4403501,Florencia,Florencia C A,-75.6,1.6166667,3873,25.1,280
2904512,Barranquilla,Flores Las,-74.8208102,11.0389976,669,27.7,2
2120567,Anolaima,Florida La,-74.4376667,4.7708611,1244,16.8,1915
2603505,Popayan,Florida La,-76.5833333,2.45,1928,17.8,1850
